round,average weight differences,train losses,test losses,test accuracies,average AUCs,Kappas
1,0,1.2229661884903908,2.8118985549659485,0.1,0.5,0.0
2,0,0.7717135633900762,2.61015885347014,0.1197,0.5109444444444444,0.0218888888888889
3,0,0.7287824406474829,2.2695909244999006,0.1501,0.5278333333333334,0.05566666666666667
4,0,0.7010361256450415,3.169681406324836,0.1483,0.5268333333333334,0.05366666666666665
5,0,0.6798645570874214,2.7557820408207596,0.1271,0.5150555555555556,0.03011111111111111
6,0,0.6674772039055824,2.52917513270287,0.1671,0.5372777777777777,0.07455555555555554
7,0,0.6794593893736601,3.3546711867022667,0.1434,0.5241111111111112,0.048222222222222215
8,0,0.6421813467144967,2.4556306228516207,0.2074,0.5596666666666665,0.11933333333333335
9,0,0.6360542780160903,2.816817011802819,0.1479,0.5266111111111111,0.05322222222222222
10,0,0.6465987461060286,2.526469373399285,0.151,0.5283333333333333,0.05666666666666667
11,0,0.6099341117218137,2.335705380530874,0.2098,0.5610000000000002,0.12199999999999997
12,0,0.6432542427256703,2.3170506733997613,0.1538,0.5298888888888889,0.05977777777777776
13,0,0.5801369919255375,3.2241395567632782,0.1602,0.5334444444444444,0.0668888888888889
14,0,0.594246546588838,2.471900651409368,0.182,0.5455555555555556,0.0911111111111111
15,0,0.5831278849765658,2.20987301571354,0.2233,0.5685,0.13699999999999998
16,0,0.5363687578961254,2.447391573790532,0.2204,0.5668888888888889,0.1337777777777778
17,0,0.593733760714531,2.442486820706896,0.1727,0.5403888888888888,0.08077777777777777
18,0,0.5652707621268928,3.0474606592943716,0.1394,0.521888888888889,0.04377777777777777
19,0,0.5485465070605278,2.0755104631375354,0.2432,0.5795555555555556,0.1591111111111111
20,0,0.5638499809429051,2.4282671866143586,0.1697,0.5387222222222222,0.07744444444444444
21,0,0.551540184058249,2.1342900831987905,0.2376,0.5764444444444445,0.15288888888888888
22,0,0.5651478027366104,2.4535710416781673,0.1803,0.5446111111111112,0.08922222222222219
23,0,0.5689483004808426,2.7826741728813027,0.1392,0.5217777777777778,0.043555555555555556
24,0,0.5121248971298338,2.6451126314272546,0.2303,0.572388888888889,0.1447777777777778
25,0,0.5161628809198737,2.536085416556923,0.2126,0.5625555555555556,0.12511111111111112
26,0,0.501870637871325,2.08814525907966,0.2605,0.5891666666666666,0.17833333333333337
27,0,0.4517773535475135,3.029074618770818,0.2394,0.5774444444444444,0.1548888888888889
28,0,0.5134202427789569,3.0929144628488334,0.15,0.5277777777777778,0.05555555555555556
29,0,0.4924168158508837,2.5581820588202993,0.2385,0.5769444444444445,0.1538888888888889
30,0,0.5163331100344657,2.034693178857208,0.2688,0.5937777777777777,0.18755555555555556
31,0,0.49158709740266204,1.973221525265153,0.29,0.6055555555555556,0.21111111111111108
32,0,0.5114914548397064,2.113676349828198,0.2514,0.5841111111111111,0.16822222222222225
33,0,0.4803315123543143,2.0029202373164474,0.2936,0.6075555555555555,0.21511111111111114
34,0,0.4627763509005308,1.9490048482919196,0.308,0.6155555555555555,0.2311111111111111
35,0,0.4257016789913178,3.322781749591706,0.1781,0.5433888888888888,0.08677777777777777
36,0,0.4578155807033181,2.3448892687536347,0.212,0.5622222222222223,0.12444444444444443
37,0,0.4774927896633744,3.0856870192631036,0.1433,0.5240555555555556,0.04811111111111112
38,0,0.47875234447419646,2.159071033167991,0.2806,0.6003333333333334,0.20066666666666666
39,0,0.48039234695956107,2.4320097561854466,0.1694,0.5385555555555555,0.0771111111111111
40,0,0.4694247556850315,1.9857253937204933,0.3339,0.6299444444444445,0.25988888888888884
41,0,0.42012261696159836,2.2608269399898067,0.2699,0.5943888888888889,0.18877777777777774
42,0,0.4710930077452213,2.449830680895763,0.1958,0.5532222222222222,0.10644444444444444
43,0,0.4380940243415535,2.0723903877719954,0.3065,0.6147222222222222,0.22944444444444442
44,0,0.461629770854488,2.092237981261721,0.2582,0.5878888888888889,0.17577777777777776
45,0,0.4393521999381482,2.1784423809901923,0.2474,0.5818888888888888,0.1637777777777778
46,0,0.4271173747815191,1.824092355503398,0.3435,0.6352777777777779,0.2705555555555556
47,0,0.3902218197286129,2.533666439876435,0.203,0.5572222222222222,0.11444444444444446
48,0,0.4203607942350208,2.373185499458556,0.2092,0.5606666666666666,0.12133333333333335
49,0,0.4019701642543077,1.9471684124819033,0.3509,0.6393888888888889,0.27877777777777774
50,0,0.455673408228904,2.2419156010743158,0.2301,0.5722777777777778,0.14455555555555555
51,0,0.4135541074723005,1.9862015292902662,0.3133,0.6184999999999999,0.23700000000000002
52,0,0.4293066715449094,2.0472886326966013,0.3275,0.6263888888888889,0.2527777777777778
53,0,0.40084798136726024,2.467018306634988,0.2276,0.5708888888888889,0.14177777777777775
54,0,0.39580219510942694,2.150542622159241,0.3157,0.6198333333333333,0.23966666666666667
55,0,0.37046441915445033,2.126378527112827,0.3191,0.6217222222222223,0.24344444444444444
56,0,0.390758643001318,2.041474456999712,0.3142,0.619,0.23799999999999993
57,0,0.3846246986091137,1.9041965265942227,0.3308,0.6282222222222222,0.2564444444444444
58,0,0.35207492889836434,1.8874495530584057,0.3525,0.6402777777777777,0.28055555555555556
59,0,0.37860502418130637,1.9465588308443689,0.3326,0.6292222222222221,0.2584444444444444
60,0,0.36928010654635723,2.053021141677905,0.3154,0.6196666666666666,0.23933333333333334
61,0,0.4027008913084865,2.0226197759057305,0.3021,0.6122777777777778,0.2245555555555555
62,0,0.3531950169894844,1.8202612848038886,0.3605,0.6447222222222222,0.2894444444444444
63,0,0.3586822875216603,1.932147610719037,0.3331,0.6295000000000001,0.259
64,0,0.4281929942779243,2.86772117189541,0.2119,0.5621666666666668,0.12433333333333335
65,0,0.33862411327660086,2.357193828388384,0.295,0.6083333333333333,0.21666666666666665
66,0,0.33129959971643985,2.0016987718594303,0.3548,0.6415555555555555,0.28311111111111115
67,0,0.3233421428594738,2.1954783846618264,0.3445,0.6358333333333334,0.27166666666666667
68,0,0.35122206822037694,1.8062817268310838,0.3574,0.643,0.28600000000000003
69,0,0.31824269669130445,1.7816910986687726,0.3886,0.6603333333333333,0.3206666666666666
70,0,0.33668844097293915,1.8228788694758324,0.3639,0.6466111111111112,0.29322222222222216
71,0,0.36426987513899806,1.9592240965290435,0.3342,0.6301111111111112,0.2602222222222222
72,0,0.30909245780669153,2.2211137121650064,0.3125,0.6180555555555556,0.23611111111111113
73,0,0.3550316205434501,1.9167050138400619,0.3516,0.6397777777777778,0.2795555555555556
74,0,0.3242622824851424,1.85189713945814,0.3648,0.6471111111111112,0.2942222222222223
75,0,0.31486596602946515,2.036978859051018,0.3218,0.6232222222222222,0.2464444444444444
76,0,0.3734165824763477,2.1620850153030102,0.282,0.6011111111111112,0.20222222222222222
77,0,0.34052024660632013,2.403761113525196,0.2644,0.5913333333333334,0.18266666666666673
78,0,0.3126152610732242,1.9280153399060487,0.3485,0.6380555555555557,0.2761111111111111
79,0,0.3307787694782019,1.7880842123821283,0.3655,0.6475000000000001,0.29499999999999993
80,0,0.32413627918809657,1.7802298008256656,0.3795,0.6552777777777777,0.3105555555555556
81,0,0.28122973431833087,2.074435351001229,0.318,0.6211111111111112,0.24222222222222223
82,0,0.35214324874803427,1.8179831109988462,0.3584,0.6435555555555557,0.28711111111111104
83,0,0.28544314789585773,1.8950400739718394,0.3626,0.6458888888888888,0.29177777777777775
84,0,0.2804742542747408,2.041039189715294,0.3529,0.6405000000000001,0.281
85,0,0.3292572302091867,2.401772084509491,0.2743,0.5968333333333333,0.19366666666666665
86,0,0.32031995369587096,1.7207261695983305,0.4012,0.6673333333333333,0.3346666666666666
87,0,0.2789907226385549,1.9119588546692186,0.3434,0.6352222222222222,0.27044444444444443
88,0,0.30267247030045835,2.1178865280880292,0.3016,0.612,0.22399999999999998
89,0,0.3020484506385401,1.9057052173432272,0.3454,0.6363333333333334,0.2726666666666666
90,0,0.22857375486753878,2.3092661139312063,0.3244,0.6246666666666666,0.24933333333333338
91,0,0.2976829289738089,2.071935871604142,0.3081,0.6156111111111111,0.2312222222222222
92,0,0.3060206793900579,1.6695641157733407,0.4041,0.6689444444444446,0.3378888888888889
93,0,0.3128169403970241,2.0386856915844476,0.3192,0.6217777777777778,0.24355555555555555
94,0,0.28834086433518674,1.9547874699732302,0.3558,0.6421111111111111,0.28422222222222226
95,0,0.27705660522915426,1.8800771357906851,0.3613,0.6451666666666667,0.2903333333333333
96,0,0.30741563140414657,1.7597789718846606,0.3666,0.6481111111111112,0.29622222222222216
97,0,0.2863173449551687,1.663120259145263,0.4145,0.6747222222222223,0.34944444444444445
98,0,0.2698871717136353,1.934026715102469,0.3663,0.6479444444444444,0.29588888888888887
99,0,0.2520096729486249,1.9886826982923373,0.3843,0.6579444444444446,0.3158888888888889
100,0,0.2631697289459407,2.199760936627722,0.3153,0.6196111111111111,0.23922222222222222
101,0,0.28984848271124064,1.8076821163201788,0.3736,0.6519999999999999,0.30399999999999994
102,0,0.26777130920439957,2.0775079150108775,0.3364,0.6313333333333333,0.2626666666666666
103,0,0.279827538121026,1.9299732621308345,0.3437,0.6353888888888889,0.2707777777777778
104,0,0.27952053121756765,2.1250969042443923,0.3157,0.6198333333333335,0.23966666666666664
105,0,0.24889737815596166,2.084050047169825,0.3424,0.6346666666666667,0.2693333333333333
106,0,0.2739635044848547,1.6232044461426463,0.4308,0.6837777777777777,0.3675555555555555
107,0,0.30695467884186656,2.551412271086577,0.2687,0.5937222222222223,0.18744444444444439
108,0,0.2438597695203498,2.2580899858171013,0.3397,0.6331666666666667,0.2663333333333333
109,0,0.2413965822942555,1.8487273674861642,0.3986,0.6658888888888889,0.3317777777777778
110,0,0.2972194452118128,2.4695732646687016,0.2441,0.5800555555555554,0.16011111111111112
111,0,0.25492622167803347,1.9204179625602285,0.394,0.6633333333333333,0.3266666666666667
112,0,0.2893476477288641,1.913898993449606,0.3631,0.6461666666666667,0.29233333333333333
113,0,0.25824223129078744,1.856960809154875,0.3768,0.6537777777777778,0.3075555555555555
114,0,0.2747776012541726,2.068421965951373,0.326,0.6255555555555554,0.2511111111111111
115,0,0.2090954551962204,2.3948815081529555,0.3295,0.6275000000000001,0.255
116,0,0.2528305592853576,1.6641257955769824,0.4233,0.6796111111111112,0.3592222222222223
117,0,0.22802705400856213,2.0218831756312374,0.3548,0.6415555555555555,0.28311111111111115
118,0,0.23594647068530322,1.7616693047201557,0.3938,0.6632222222222223,0.32644444444444437
119,0,0.2344329281477257,2.2372240321651384,0.3394,0.633,0.26599999999999996
120,0,0.21489527864847333,2.2703830656731965,0.3371,0.6317222222222222,0.2634444444444444
121,0,0.23491246308665725,2.038022584975905,0.3303,0.6279444444444444,0.2558888888888889
