round,average weight differences,train losses,test losses,test accuracies,average AUCs,Kappas
1,0,0.46911321044462967,2.5092826572952758,0.1034,0.5018888888888889,0.003777777777777778
2,0,0.0610078315147257,4.155725555055461,0.1,0.5,0.0
3,0,0.06081840795886819,3.6014705008002603,0.1,0.5,0.0
4,0,0.060287667150114424,3.2375039856904633,0.1272,0.5151111111111112,0.030222222222222223
5,0,0.04320392730678578,3.0545421831167427,0.1,0.5,1.5419764230904953e-17
6,0,0.038901948426846494,3.718709730038977,0.0999,0.4999444444444444,-0.00011111111111111429
7,0,0.04810947739180847,3.1944718239413703,0.0999,0.4999444444444444,-0.00011111111111109886
8,0,0.05219817087808224,2.812235851956021,0.1,0.5,1.5419764230904953e-17
9,0,0.03940541000845769,2.8730840424823154,0.141,0.5227777777777778,0.04555555555555554
10,0,0.04796009356840841,3.018413144312087,0.1,0.5,0.0
11,0,0.03224621424484212,3.7341840100136534,0.1,0.5,0.0
12,0,0.052296304015017094,2.866585186332654,0.1103,0.5057222222222222,0.011444444444444432
13,0,0.04376310961976742,2.744567492964921,0.1195,0.5108333333333334,0.021666666666666654
14,0,0.040477633216614774,2.797123388120323,0.1001,0.5000555555555556,0.00011111111111111429
15,0,0.04253144866092952,3.3737227339653453,0.1004,0.5002222222222222,0.00044444444444445715
16,0,0.042434756144084526,3.245323591171556,0.1001,0.5000555555555556,0.00011111111111109886
17,0,0.04226913221908034,3.2539683739850473,0.1337,0.5187222222222223,0.037444444444444454
18,0,0.04231403198562475,2.7222869639184064,0.1002,0.5001111111111112,0.00022222222222221315
19,0,0.03332822870348536,3.2767989058403453,0.1,0.5,0.0
20,0,0.04846085047377528,3.042604051577817,0.1024,0.5013333333333333,0.0026666666666666657
21,0,0.048225854963948225,2.9636930401917474,0.104,0.5022222222222222,0.004444444444444433
22,0,0.0388590429530359,2.7362199087811123,0.1,0.5,0.0
23,0,0.039748726305115265,2.8513239629709037,0.1005,0.5002777777777778,0.000555555555555556
24,0,0.031612539548259516,3.1612901566134894,0.1395,0.5219444444444445,0.043888888888888894
25,0,0.0477094524221502,4.145349224661566,0.1,0.5,0.0
26,0,0.051483397921092536,3.8679597590379653,0.1049,0.5027222222222223,0.005444444444444446
27,0,0.05397175778785822,3.7453623000223923,0.1,0.5,0.0
28,0,0.04845224824974139,2.8812128221912747,0.1138,0.5076666666666666,0.015333333333333326
29,0,0.042521741263262816,3.8636883565574696,0.1,0.5,0.0
30,0,0.04934596346538455,3.2899348143559353,0.1156,0.5086666666666667,0.017333333333333322
31,0,0.06034260015065229,3.07377529751723,0.1019,0.5010555555555556,0.0021111111111111252
32,0,0.03590457779573626,3.017198670441937,0.1092,0.5051111111111111,0.010222222222222237
33,0,0.046025346860633365,2.500747855301875,0.1685,0.5380555555555555,0.07611111111111112
34,0,0.03285345808497368,3.2778557318790704,0.1149,0.5082777777777777,0.016555555555555553
35,0,0.036942643508627956,2.7615855514623555,0.1,0.5,0.0
36,0,0.03664282368017212,2.865385192215063,0.1308,0.5171111111111111,0.03422222222222223
37,0,0.04280689023797095,2.8530039392459163,0.1006,0.5003333333333334,0.0006666666666666549
38,0,0.0379673634433766,3.4739913059647676,0.1,0.5,0.0
39,0,0.04255008369276766,3.29212184620511,0.1079,0.5043888888888889,0.008777777777777766
40,0,0.05054732372478611,3.2630171699888386,0.1,0.5,0.0
41,0,0.046481304264489154,3.0155819601314082,0.1006,0.5003333333333334,0.0006666666666666549
42,0,0.03971803220290894,3.015054736167762,0.1243,0.5135,0.026999999999999986
43,0,0.04597602708759951,2.6289763420250765,0.1001,0.5000555555555556,0.00011111111111109886
44,0,0.03443758062174311,2.4896482054594977,0.1,0.5,1.5419764230904953e-17
45,0,0.03093001370057209,3.6544404394307715,0.1473,0.5262777777777778,0.052555555555555536
46,0,0.04657321334461813,2.6902763965023553,0.1037,0.5020555555555555,0.004111111111111105
47,0,0.03373383387781359,2.960148049008315,0.1018,0.501,0.002000000000000011
48,0,0.04538729288020476,2.551838783701514,0.1422,0.5234444444444444,0.046888888888888876
49,0,0.03243197806302305,2.706961244534535,0.1066,0.5036666666666667,0.007333333333333327
50,0,0.031187010341600395,2.8674964251791595,0.1663,0.5368333333333333,0.07366666666666666
