round,average weight differences,train losses,test losses,test accuracies,average AUCs,Kappas
1,0,1.1819178580492735,2.695310093035364,0.1077,0.5042777777777777,0.00855555555555557
2,0,0.7603974065184593,3.1039663378600104,0.1445,0.5247222222222223,0.04944444444444442
3,0,0.7566071640700102,2.5774521205075986,0.1324,0.518,0.03599999999999998
4,0,0.7105034280940891,3.967679571953549,0.1418,0.5232222222222223,0.04644444444444445
5,0,0.7364498112350703,2.4569376714669975,0.1249,0.5138333333333333,0.027666666666666655
6,0,0.6634505875408649,2.5859559706062267,0.1436,0.5242222222222223,0.04844444444444444
7,0,0.7016590507701039,2.3000560216842945,0.1667,0.5370555555555556,0.0741111111111111
8,0,0.6644430096819998,2.4878928615788745,0.1478,0.5265555555555556,0.05311111111111109
9,0,0.6260944297909736,2.2752118824393888,0.2104,0.5613333333333332,0.12266666666666666
10,0,0.634345317557454,2.372264289552239,0.2268,0.5704444444444444,0.14088888888888887
11,0,0.6394664973393083,2.297485629464411,0.2149,0.5638333333333334,0.12766666666666668
12,0,0.6011286833137273,2.7032424036864264,0.1527,0.5292777777777778,0.05855555555555555
13,0,0.6023492653667927,2.47789440792837,0.1757,0.5420555555555555,0.08411111111111111
14,0,0.5766857808083297,2.4207036419279255,0.1976,0.5542222222222222,0.10844444444444441
15,0,0.5561310940980911,2.570190350720837,0.2147,0.5637222222222222,0.12744444444444444
16,0,0.5980328890308739,2.645865870129531,0.1914,0.5507777777777778,0.10155555555555554
17,0,0.5712298468872905,2.22723597098308,0.2048,0.5582222222222222,0.11644444444444445
18,0,0.582282462157309,2.4032723235476547,0.1852,0.5473333333333332,0.09466666666666666
19,0,0.5361251175403596,2.3124929499474303,0.1912,0.5506666666666667,0.10133333333333333
20,0,0.5381580193340778,2.3778359221804672,0.2025,0.5569444444444445,0.11388888888888891
21,0,0.577835979387164,2.4061241651036935,0.1604,0.5335555555555556,0.0671111111111111
22,0,0.5302098771557213,2.3231031674488336,0.2006,0.5558888888888889,0.11177777777777778
23,0,0.5239480940438808,2.129032849506208,0.267,0.5927777777777778,0.18555555555555556
